time,id,x,y,angle,speed,lane_id,acceleration
4.8,4,4.8,115.8767844,0,0.941960913,-E6_0,2.354902283
5.2,0,242.0936739,98.4,90,9.922317098,E15_1,2.100754879
5.2,1,173.701564,301.6,270,6.92984422,-E22_1,1.530216275
5.2,2,24.21453957,195.2,90,5.361574435,E2_0,1.499109609
5.2,3,95.2,181.0092758,180,3.252137105,E5_0,1.505912984
5.2,4,4.8,116.534608,0,1.644559178,-E6_0,1.756495662
5.6,0,246.4449143,98.4,90,10.87810096,E15_1,2.389459658
5.6,1,170.71118,301.6,270,7.475960051,-E22_1,1.365289577
5.6,2,26.68784978,195.2,90,6.183275528,E2_0,2.054252734
5.6,3,95.2,179.4537855,180,3.888725775,E5_0,1.591471675
5.6,4,4.8,117.5139699,0,2.448404746,-E6_0,2.009613921
5.6,5,84.5,204.8,270,0,-E2_0,0
6,0,251.0493758,98.4,90,11.51115389,E15_1,1.582632316
6,1,167.3633547,301.6,270,8.369563098,-E22_1,2.234007617
6,2,29.45261181,195.2,90,6.911905088,E2_0,1.821573899
6,3,95.2,177.6155196,180,4.595664885,E5_0,1.767347775
6,4,1.6,118.7305771,0,3.041517967,-E6_1,1.482783053
6,5,84.11436582,204.8,270,0.964085438,-E2_0,2.410213596
6.4,0,255.9941091,98.4,90,12.36183329,E15_1,2.126698495
6.4,1,163.7236576,301.6,270,9.099242923,-E22_1,1.824199563
6.4,2,32.47256369,195.2,90,7.549879685,E2_0,1.594936493
6.4,3,95.2,175.5500501,180,5.163673703,E5_0,1.420022045
6.4,4,1.6,120.1711315,0,3.601385991,-E6_1,1.399670058
6.4,5,83.41556141,204.8,270,1.747011034,-E2_0,1.957313988
6.4,6,104.8,15.5,0,0,-E10_0,0
6.8,0,261.2062395,98.4,90,13.03032595,E15_1,1.671231654
6.8,1,159.756791,301.6,270,9.917166393,-E22_1,2.044808676
6.8,2,35.73644128,195.2,90,8.159693986,E2_0,1.524535754
6.8,3,95.2,173.2115454,180,5.846261823,E5_0,1.706470299
6.8,4,1.6,121.9388352,0,4.419259258,-E6_1,2.044683169
6.8,5,82.34347581,204.8,270,2.680213993,-E2_0,2.333007399
6.8,6,104.8,15.8506988,0,0.876746994,-E10_0,2.191867486
7.2,0,266.7242926,98.4,90,13.79513266,E15_1,1.912016778
7.2,1,155.4666845,301.6,270,10.7252663,-E22_1,2.020249756
7.2,2,39.31722117,195.2,90,8.951949725,E2_0,1.980639346
7.2,3,95.2,170.6434971,180,6.420120717,E5_0,1.434647236
7.2,4,1.6,123.96916,0,5.075812035,-E6_1,1.641381941
7.2,5,80.85956695,201.6,270,3.709772156,-E2_1,2.573895405
7.2,6,104.8,16.59103076,0,1.850829916,-E10_0,2.435207303
7.6,0,271.9008989,98.4,90,12.94151587,E15_1,-2.134041968
7.6,1,150.9167979,301.6,270,11.3747165,-E22_1,1.62362552
7.6,2,43.20695564,195.2,90,9.724336171,E2_0,1.930966116
7.6,3,95.2,167.7624163,180,7.202702016,E5_0,1.956453248
7.6,4,1.6,126.3431575,0,5.934993613,-E6_1,2.147953945
7.6,5,79.02275673,201.6,270,4.592025556,-E2_1,2.205633501
7.6,6,104.8,17.58927331,0,2.495606362,-E10_0,1.611941116
7.6,7,215.5,95.2,90,0,E15_0,0
8,0,276.4107877,98.4,90,11.27472209,E15_1,-4.166984467
8,1,146.0706025,301.6,270,12.11548837,-E22_1,1.851929674
8,2,47.45233239,195.2,90,10.61344188,E2_0,2.22276428
8,3,95.2,164.5190852,180,8.108327584,E5_0,2.264063921
8,4,1.6,129.098152,0,6.887486224,-E6_1,2.381231529
8,5,76.81762619,201.6,270,5.512826353,-E2_1,2.302001992
8,6,101.6,18.94740463,0,3.3953283,-E10_1,2.249304845
8,7,215.8603394,95.2,90,0.900848519,E15_0,2.252121296
8.4,0,280.3148042,98.4,90,9.760041142,E15_1,-3.786702359
8.4,1,141.0287125,301.6,270,12.60472507,-E22_1,1.223091735
8.4,2,51.91857966,195.2,90,11.16561815,E2_0,1.380440676
8.4,3,95.2,160.9766279,180,8.856143399,E5_0,1.869539537
8.4,4,1.6,132.1269318,0,7.571949577,-E6_1,1.711158382
8.4,5,74.22901099,201.6,270,6.471537988,-E2_1,2.396779089
8.4,6,101.6,20.58194275,0,4.086345305,-E10_1,1.727542513
8.4,7,216.4982398,95.2,90,1.594750945,E15_0,1.734756065
8.4,8,84.5,204.8,270,0,-E2_0,0
8.8,0,283.4988207,98.4,90,7.960041142,E15_1,-4.5
8.8,1,135.8492621,301.6,270,12.94862605,-E22_1,0.859752451
8.8,2,56.79261283,195.2,90,12.18508293,E2_0,2.548661951
8.8,3,95.2,157.0420183,180,9.836523825,E5_0,2.450951064
8.8,4,1.6,135.3804768,0,8.133862589,-E6_1,1.404782532
8.8,5,71.37064425,201.6,270,7.145916861,-E2_1,1.685947182
8.8,6,101.6,22.45717903,0,4.688090694,-E10_1,1.504363472
8.8,7,217.4552226,95.2,90,2.392457009,E15_0,1.99426516
8.8,8,84.13382933,204.8,270,0.915426666,-E2_0,2.288566664
9.2,0,286.0506716,98.4,90,6.379627397,E15_1,-3.95103436
9.2,1,130.6746698,301.6,270,12.93648073,-E22_1,-0.030363298
9.2,2,62.04422614,195.2,90,13.12903328,E2_0,2.359875865
9.2,3,95.2,152.7618808,180,10.70034389,E5_0,2.15955017
9.2,4,1.6,139.0355094,0,9.137581408,-E6_1,2.509297047
9.2,5,68.23769677,201.6,270,7.832368704,-E2_1,1.716129606
9.2,6,101.6,24.74684322,0,5.724160475,-E10_1,2.590174453
9.2,7,218.7692262,95.2,90,3.285008992,E15_0,2.231379958
9.2,8,83.3997799,204.8,270,1.835123595,-E2_0,2.299242322
9.6,0,289.0185226,98.4,90,7.419627397,E15_1,2.6
9.6,1,125.6135965,301.6,270,12.65268335,-E22_1,-0.709493446
9.6,2,67.55648084,195.2,90,13.78063674,E2_0,1.629008637
9.6,3,95.2,148.2589159,180,11.25741233,E5_0,1.392671095
9.6,4,1.6,143.0957658,0,10.15064091,-E6_1,2.53264875
9.6,5,64.82656813,201.6,270,8.527821603,-E2_1,1.738632247
9.6,6,101.6,27.41994938,0,6.682765393,-E10_1,2.396512294
9.6,7,220.3740519,95.2,90,4.012064331,E15_0,1.817638349
9.6,8,82.3987594,201.6,270,2.502551239,-E2_1,1.66856911
9.6,9,115.5,295.2,90,0,E22_0,0
10,0,292.3462219,98.79231741,85.48890373,8.387865497,:J8_8_0,2.42059525
10,1,120.6187808,301.6,270,12.48703917,-E22_1,-0.414110458
10,2,72.65170464,195.2,90,12.73805951,E2_0,-2.606443051
10,3,95.2,143.5412443,180,11.7941789,E5_0,1.341916431
10,4,1.6,147.5179153,0,11.05537385,-E6_1,2.261832354
10,5,61.09627391,201.6,270,9.325735534,-E2_1,1.994784828
10,6,101.6,30.45938115,0,7.598579443,-E10_1,2.289535125
10,7,222.3371059,95.2,90,4.907635065,E15_0,2.238926833
10,8,81.10203848,201.6,270,3.241802293,-E2_1,1.848127635
10,9,115.8771414,295.2,90,0.942853436,E22_0,2.357133591
10.4,0,295.8006848,99.7204109,76.86619298,9.093269607,:J8_8_0,1.763510275
10.4,1,116.3439651,301.6,270,10.68703917,-E22_1,-4.5
10.4,2,77.08890533,195.2,90,11.09300172,E2_0,-4.112644492
10.4,3,95.2,138.4517069,180,12.7238436,E5_0,2.324161743
10.4,4,1.6,152.3014448,0,11.95882364,-E6_1,2.258624479
10.4,5,57.13848076,201.6,270,9.894482893,-E2_1,1.421868397
10.4,6,101.6,33.88574284,0,8.565904224,-E10_1,2.418311952
10.4,7,224.5937761,95.2,90,5.64167534,E15_0,1.835100689
10.4,8,79.58983217,201.6,270,3.780515785,-E2_1,1.346783731
10.4,9,116.5786735,295.2,90,1.753830244,E22_0,2.02744202
10.8,0,298.9306241,101.9510401,55.5226676,9.766351226,:J8_8_0,1.682704045
10.8,1,112.7891495,301.6,270,8.887039167,-E22_1,-4.5
10.8,2,80.91409878,195.2,90,9.562983621,E2_0,-3.825045243
10.8,3,95.2,133.1155833,180,13.34030894,E5_0,1.541163358
10.8,4,1.6,157.4033023,0,12.75464382,-E6_1,1.989550457
10.8,5,52.81027022,201.6,270,10.82052635,-E2_1,2.315108632
10.8,6,101.6,37.63881091,0,9.382670175,-E10_1,2.041914878
10.8,7,227.2515097,95.2,90,6.644334043,E15_0,2.506646756
10.8,8,77.77419458,201.6,270,4.539093966,-E2_1,1.896445452
10.8,9,117.687986,295.2,90,2.773281327,E22_0,2.548627706
11.2,0,300.8631855,105.2422985,33.46369883,9.55808299,:J8_8_0,-0.520670589
11.2,1,109.9527407,301.535977,269.2657284,7.10229367,:J16_2_0,-4.461863742
11.2,2,84.06182824,195.2,90,7.869323655,E2_0,-4.234149913
11.2,3,95.2,127.5566079,180,13.89743842,E5_0,1.392823681
11.2,4,1.6,162.7786328,0,13.43832618,-E6_1,1.709205881
11.2,5,48.25810163,201.6,270,11.38042146,-E2_1,1.399737792
11.2,6,101.6,41.70583312,0,10.16755551,-E10_1,1.962213336
11.2,7,230.2590231,95.2,90,7.518783431,E15_0,2.18612347
11.2,8,75.59897441,201.6,270,5.438050437,-E2_1,2.247391176
11.2,9,119.0238916,295.2,90,3.339763973,E22_0,1.416206615
11.6,0,301.414741,109.1031867,12.67169996,9.748688886,:J8_8_0,0.47651474
11.6,1,107.788261,301.2261422,265.7013113,5.465747587,:J16_2_0,-4.091365207
11.6,11,104.8,215.5,0,0,-E24_0,0
11.6,2,86.4895577,195.2,90,6.069323655,E2_0,-4.5
11.6,3,95.2,121.6063846,180,14.8755582,E5_0,2.445299449
11.6,4,1.6,168.4292677,0,14.12658744,-E6_1,1.720653155
11.6,5,43.64308946,201.6,270,11.53753043,-E2_1,0.392772422
11.6,6,101.6,46.09845084,0,10.98154431,-E10_1,2.034971991
11.6,7,233.6302398,95.2,90,8.428041948,E15_0,2.273146294
11.6,8,73.08499473,201.6,270,6.284949183,-E2_1,2.117246865
11.6,9,120.6232125,295.2,90,3.998302201,E22_0,1.64634557
12,0,301.6,112.8276353,4.183233766,9.343523641,-E7_1,-1.012913113
12,1,105.273757,300.8670699,261.8635577,6.349302235,:J16_9_0,2.20888662
12,11,104.8,215.8616418,0,0.904104453,-E24_0,2.260261132
12,2,89.33328716,195.2,90,7.109323655,E2_0,2.6
12,3,95.2,115.7644951,180,14.60472379,E5_0,-0.677086012
12,4,1.6,174.0039818,0,13.93678524,-E6_1,-0.474505485
12,5,39.10735164,201.6,270,11.33934454,-E2_1,-0.495464726
12,6,101.6,50.78769706,0,11.72311556,-E10_1,1.853928144
12,7,237.3748123,95.2,90,9.361431175,E15_0,2.333473067
12,8,70.32945425,201.6,270,6.888851211,-E2_1,1.509755072
12,9,122.570564,295.2,90,4.8683787,E22_0,2.175191248
12.4,0,301.6,116.839396,0,10.02940168,-E7_1,1.714695097
12.4,1,102.7247237,299.3948342,248.945861,7.381882715,:J16_9_0,2.581451199
12.4,10,115.5,295.2,90,0,E22_0,0
12.4,11,104.8,216.5562778,0,1.73659015,-E24_0,2.081214244
12.4,12,295.2,84.5,180,0,E8_0,0
12.4,2,91.93418527,194.866545,93.83329559,6.560567288,:J2_14_0,-1.371890918
12.4,3,95.2,109.7982022,180,14.91573236,:J6_1_0,0.777521418
12.4,4,1.6,179.5455382,0,13.85389085,-E6_1,-0.207235989
12.4,5,34.63623891,201.6,270,11.17778182,-E2_1,-0.403906791
12.4,6,101.6,55.79235141,0,12.51163587,-E10_1,1.971300767
12.4,7,241.3696519,98.4,90,9.98709901,E15_1,1.564169589
12.4,8,67.31708732,201.6,270,7.530917314,-E2_1,1.605165257
12.4,9,124.8655045,295.2,90,5.737351493,E22_0,2.172431982
12.8,0,301.6,121.2019612,0,10.90641308,-E7_1,2.192528511
12.8,1,100.4670999,297.0451666,228.930507,8.393831328,:J16_9_0,2.529871531
12.8,10,115.8936664,295.2,90,0.984166059,E22_0,2.460415149
12.8,11,104.8,217.5852691,0,2.572478103,-E24_0,2.089719883
12.8,12,295.2,84.15813193,180,0.854670187,E8_0,2.136675468
12.8,2,93.99094352,193.4817608,110.8777416,6.32138828,:J2_14_0,-0.597947522
12.8,3,95.2,103.8122869,180,14.96478822,:J6_1_0,0.122639648
12.8,4,1.6,185.1637858,0,14.04561912,-E6_1,0.479320683
12.8,5,30.16250352,201.6,270,11.1843385,-E2_1,0.01639168
12.8,6,101.6,61.08207246,0,13.22430263,-E10_1,1.781666889
12.8,7,245.5746317,98.4,90,10.51244949,E15_1,1.313376189
12.8,8,63.99840255,201.6,270,8.296711945,-E2_1,1.914486576
12.8,9,127.4706252,295.2,90,6.512801672,E22_0,1.938625448
13.2,0,301.6,125.796672,0,11.4867769,-E7_1,1.450909544
13.2,1,99.02241767,293.9569237,206.9020949,8.653820404,:J16_9_0,0.64997269
13.2,10,116.6091438,295.2,90,1.788693507,E22_0,2.01131862
13.2,11,104.8,218.8675722,0,3.205757796,-E24_0,1.583199231
13.2,12,295.2,83.50825905,180,1.6246822,E8_0,1.925030032
13.2,2,94.98339856,191.1162101,141.9499409,6.531417184,:J2_14_0,0.52507226
13.2,3,95.2,97.86814767,180,14.86034802,:J6_1_0,-0.261100484
13.2,4,1.6,190.708474,0,13.86172049,:J1_7_0,-0.459746574
13.2,5,25.57310356,201.6,270,11.47349988,-E2_1,0.722903461
13.2,6,101.6,66.74403435,0,14.15490472,-E10_1,2.326505224
13.2,7,250.0495741,98.4,90,11.18735597,E15_1,1.687266205
13.2,8,60.30623269,201.6,270,9.230424642,-E2_1,2.334281744
13.2,9,130.3523568,295.2,90,7.204328848,E22_0,1.728817938
13.6,0,301.6,130.6181098,0,12.05359451,-E7_1,1.417044026
13.6,1,98.53134706,290.5194294,190.9401174,8.67948641,:J16_9_0,0.064165016
13.6,10,117.5514459,295.2,90,2.355755238,E22_0,1.417654327
13.6,11,104.8,220.4047171,0,3.842862254,-E24_0,1.592761146
13.6,12,295.2,82.45184588,180,2.641032901,E8_0,2.540876752
13.6,13,184.5,104.8,270,0,-E14_0,0
13.6,2,95.2,188.6951853,165.9889817,6.090446117,E5_0,-1.102427666
13.6,3,95.2,91.96135525,180,14.76698107,:J6_1_0,-0.233417393
13.6,4,1.6,196.4180114,0,14.27384342,:J1_7_0,1.030307309
13.6,5,21.45491621,201.6,270,10.29546837,-E2_1,-2.945078771
13.6,6,101.6,72.45437446,0,14.27585028,-E10_1,0.302363918
13.6,7,254.7708123,98.4,90,11.80309542,E15_1,1.539348624
13.6,8,56.26125198,201.6,270,10.11245178,-E2_1,2.205067838
13.6,9,133.5729172,295.2,90,8.051401053,E22_0,2.117680513
14,0,301.6,135.8509702,0,13.08215094,-E7_1,2.57139107
14,1,98.4,287.1115225,184.0841697,8.54270308,E24_1,-0.341958326
14,10,118.8894754,295.2,90,3.34507374,E22_0,2.473296254
14,11,104.8,222.275888,0,4.677927227,-E24_0,2.087662433
14,12,295.2,81.08165333,180,3.425481396,E8_0,1.961121238
14,13,184.1358884,104.8,270,0.910278933,-E14_0,2.275697332
14,2,95.2,185.8829603,177.9161743,7.030562556,E5_0,2.350291097
14,3,95.2,86.07252908,180,14.72206543,E10_0,-0.112289097
14,4,1.6,202.0706088,0,14.13149358,:J1_7_0,-0.355874603
14,5,17.96884088,201.6,270,8.715188327,-E2_1,-3.950700113
14,6,101.6,77.68101389,0,13.06659858,-E10_1,-3.023129262
14,7,259.5563474,98.4,90,11.96383783,E15_1,0.401856035
14,8,51.82460996,201.6,270,11.09160506,-E2_1,2.447883198
14,9,137.1377796,295.2,90,8.912156004,E22_0,2.151887378
14.4,0,301.6,141.4876047,0,14.09158635,-E7_1,2.523588517
14.4,1,98.4,283.4278876,180,9.209087262,E24_1,1.665960457
14.4,10,120.4402711,295.2,90,3.876989178,E22_0,1.329788595
14.4,11,104.8,224.4255555,0,5.374168649,-E24_0,1.740603554
14.4,12,295.2,79.41817137,180,4.158704902,E8_0,1.833058765
14.4,13,183.4150229,104.8,270,1.802163717,-E14_0,2.22971196
14.4,14,95.2,284.5,180,0,E24_0,0
14.4,2,95.2,182.657088,180,8.064680569,E5_0,2.585295032
14.4,3,95.2,80.08675325,180,14.96443957,E10_0,0.605935343
14.4,4,1.6,207.5992457,0,13.8215922,:J1_7_0,-0.774753427
14.4,5,15.13417102,201.6,270,7.086674652,-E2_1,-4.071284186
14.4,6,101.6,82.21362264,0,11.33152187,-E10_1,-4.337691772
14.4,7,264.4703705,98.4,90,12.28505769,E15_1,0.803049644
14.4,8,46.99271064,201.6,270,12.07974828,-E2_1,2.470358062
14.4,9,141.0801022,298.4,90,9.855806659,E22_1,2.359126638
14.8,0,301.6,147.1911395,0,14.25883704,-E7_1,0.418126721
14.8,1,98.4,279.4419414,180,9.964865396,E24_1,1.889445334
14.8,10,122.3005581,295.2,90,4.65071744,E22_0,1.934320655
14.8,11,104.8,226.9090125,0,6.208642538,-E24_0,2.086184722
14.8,12,295.2,77.34776067,180,5.176026749,E8_0,2.543304615
14.8,13,182.4660512,104.8,270,2.372429286,-E14_0,1.425663923
14.8,14,95.2,284.1523466,180,0.869133598,E24_0,2.172833994
14.8,2,95.2,179.0611789,180,8.989772722,E5_0,2.312730383
14.8,3,95.2,74.25423274,180,14.58130127,E10_0,-0.957845734
14.8,4,1.6,213.2889388,0,14.22423283,E20_1,1.006601567
14.8,5,13.01950116,201.6,270,5.286674652,-E2_1,-4.5
14.8,6,101.6,86.02623139,0,9.531521869,-E10_1,-4.5
14.8,7,269.344783,98.4,90,12.18603129,E15_1,-0.247565988
14.8,8,41.99425859,201.6,270,12.49613014,-E2_1,1.040954636
14.8,9,145.365328,298.4,90,10.71306428,E22_1,2.143144042
15.2,0,301.6,152.9292117,0,14.34518037,-E7_1,0.215858332
15.2,1,98.4,275.159407,180,10.70633602,E24_1,1.853676571
15.2,10,124.5128731,295.2,90,5.530787698,E22_0,2.200175646
15.2,11,104.8,229.7386818,0,7.074173365,-E24_0,2.163827069
15.2,12,295.2,75.0159475,180,5.829532911,E8_0,1.633765406
15.2,13,181.1490806,104.8,270,3.292426605,-E14_0,2.299993298
15.2,14,95.2,283.4988945,180,1.633630073,E24_0,1.911241188
15.2,2,95.2,175.1028176,180,9.89590336,E5_0,2.265326594
15.2,3,95.2,68.26590665,180,14.97081523,E10_0,0.973784903
15.2,4,1.6,218.8080807,0,13.7978547,E20_1,-1.065945318
15.2,5,10.4888313,201.6,270,6.326674652,-E2_1,2.6
15.2,6,101.6,89.12738746,0,7.752890175,-E10_1,-4.446579236
15.2,7,274.2251889,98.4,90,12.20101481,E15_1,0.037458789
15.2,8,37.5713705,201.6,270,11.05722022,-E2_1,-3.597274781
15.2,9,149.875706,298.4,90,11.2759452,E22_1,1.407202313
15.6,0,301.6,158.754067,0,14.56213835,-E7_1,0.542394957
15.6,1,98.4,270.6415679,180,11.29459783,E24_1,1.470654518
15.6,10,127.0997465,295.2,90,6.467183336,E22_0,2.340989094
15.6,11,104.8,232.8831035,0,7.861054277,-E24_0,1.96720228
15.6,12,298.4,72.31961444,180,6.740832644,E8_1,2.278249332
15.6,13,179.6009517,104.8,270,3.870322239,-E14_0,1.444739086
15.6,14,95.2,282.5924971,180,2.265993528,E24_0,1.580908639
15.6,15,115.5,295.2,90,0,E22_0,0
15.6,2,95.2,170.8804071,180,10.55602633,E5_0,1.650307433
15.6,3,95.2,62.3265087,180,14.84849487,E10_0,-0.305800902
15.6,4,1.6,224.4174731,0,14.02348097,E20_1,0.564065658
15.6,5,8.03913745,201.9372661,273.8771804,6.183223219,:J1_3_0,-0.358628582
15.6,6,101.3295278,91.48949619,356.8918169,5.952890175,:J6_11_0,-4.5
15.6,7,278.4234956,98.4,90,10.49576665,E15_1,-4.26312039
15.6,8,33.18329185,201.6,270,10.97019661,-E2_1,-0.217559022
15.6,9,154.4663851,298.4,90,11.47669762,E22_1,0.501881048
16,0,301.6,164.5070494,0,14.38245595,-E7_1,-0.449206001
16,1,98.4,265.7264993,180,12.28767136,E24_1,2.482683818
16,10,129.9893494,295.2,90,7.224007216,E22_0,1.892059701
16,11,104.8,236.3353353,0,8.630579511,-E24_0,1.923813084
16,12,298.4,69.2078644,180,7.779375116,E8_1,2.596356181
16,13,177.7308827,104.8,270,4.67517257,-E14_0,2.012125827
16,14,98.4,281.3317732,180,3.151809692,E24_1,2.214540409
16,15,115.9078113,295.2,90,1.019528181,E22_0,2.548820453
16,2,95.2,166.2463128,180,11.58523573,E5_0,2.57302349
16,3,95.2,56.44044766,180,14.71515259,E10_0,-0.333355711
16,4,1.6,230.0496075,0,14.08033589,E20_1,0.142137312
16,5,5.719306207,202.6484163,282.2625423,6.181539912,:J1_3_0,-0.00420827
16,6,100.9331244,94.25873653,352.3318253,6.992890175,:J6_11_0,2.6
16,7,282.0377141,98.4,90,9.03554624,E15_1,-3.650551033
16,8,29.01478484,201.6,270,10.42126754,-E2_1,-1.372322681
16,9,159.0713945,298.4,90,11.51252353,E22_1,0.089564773
16.4,0,301.6,170.2146658,0,14.26904108,-E7_1,-0.283537173
16.4,1,98.4,260.6249958,180,12.7537589,E24_1,1.165218841
16.4,10,133.2070161,295.2,90,8.044166743,E22_0,2.050398817
16.4,11,104.8,240.1047137,0,9.42344597,-E24_0,1.982166149
16.4,12,298.4,65.74488267,180,8.657454314,E8_1,2.195197996
16.4,13,175.4628027,104.8,270,5.670199839,-E14_0,2.487568172
16.4,14,98.4,279.6561311,180,4.189105237,E24_1,2.593238863
16.4,15,116.6086593,295.2,90,1.752120077,E22_0,1.83147974
16.4,16,95.2,84.5,180,0,E10_0,0
16.4,2,95.2,161.224482,180,12.55457707,E5_0,2.423353353
16.4,3,95.2,50.43191602,180,15.0213291,E10_0,0.765441282
16.4,4,1.6,235.6265467,0,13.94234821,E20_1,-0.344969206
16.4,5,3.58326407,204.1612265,297.0147695,6.647797578,:J1_3_0,1.165644166
16.4,6,99.59718052,96.93803247,340.764183,7.579047034,:J6_17_0,1.465392148
16.4,7,284.9319326,98.4,90,7.23554624,E15_1,-4.5
16.4,8,25.17397888,201.6,270,9.602014906,-E2_1,-2.04813159
16.4,9,163.7275881,298.4,90,11.64048401,E22_1,0.319901194
16.8,0,301.6,176.0543261,0,14.5991506,-E7_1,0.825273798
16.8,1,98.4,255.4259297,180,12.99766513,E24_1,0.60976558
16.8,10,136.7134719,295.2,90,8.766139513,E22_0,1.804931926
16.8,11,104.8,244.0990075,0,9.98573436,-E24_0,1.405720974
16.8,12,298.4,62.01268815,180,9.330486312,E8_1,1.682579995
16.8,13,172.861359,104.8,270,6.503609309,-E14_0,2.083523675
16.8,14,98.4,277.7203691,180,4.839405098,E24_1,1.625749651
16.8,15,117.55077,295.2,90,2.355276731,E22_0,1.507891634
16.8,16,95.2,84.14861773,180,0.878455683,E10_0,2.196139207
16.8,2,95.2,155.9016654,180,13.30704132,E5_0,1.881160618
16.8,3,95.2,44.52696198,180,14.76238511,E10_0,-0.64735998
16.8,4,1.6,241.3012257,0,14.18669749,E20_1,0.610873212
16.8,5,2.250055794,206.3832403,317.9314328,6.477213658,:J1_3_0,-0.4264598
16.8,6,97.3190983,99.36854102,320.7473648,8.578384277,:J6_17_0,2.498343109
16.8,7,287.1061511,98.4,90,5.43554624,E15_1,-4.5
16.8,8,21.03047679,201.6,270,10.3587552,-E2_1,1.891850746
16.8,9,168.4116411,298.4,90,11.71013259,E22_1,0.17412145
17.2,0,301.6,181.5005176,0,13.61547896,-E7_1,-2.459179097
17.2,1,98.4,250.2822857,180,12.85911,E24_1,-0.346387829
17.2,10,140.588939,298.4,90,9.688667924,E22_1,2.306321028
17.2,11,104.8,248.3059042,0,10.51724176,-E24_0,1.328768494
17.2,12,298.4,58.00121902,180,10.02867283,E8_1,1.745466287
17.2,13,170.0134692,104.8,270,7.119724499,-E14_0,1.540287975
17.2,14,98.4,275.4748035,180,5.613913947,E24_1,1.936272124
17.2,15,118.7210249,295.2,90,2.925637156,E22_0,1.425901063
17.2,16,95.2,83.41993455,180,1.821707937,E10_0,2.358130635
17.2,2,95.2,150.2932394,180,14.02106511,E5_0,1.785059483
17.2,3,95.2,38.53625025,180,14.97677932,E10_0,0.535985535
17.2,4,1.6,246.9568356,0,14.13902472,E20_1,-0.119181945
17.2,5,1.805311432,208.96282,340.1611976,6.578444401,:J1_3_0,0.253076857
17.2,6,94.09410588,100.9579849,297.5318999,9.105946431,:J6_17_0,1.318905384
17.2,7,289.6954159,98.38636915,90.15622743,6.47554624,:J8_6_1,2.6
17.2,8,17.60697471,201.6,270,8.558755205,-E2_1,-4.5
17.2,9,173.0277783,298.4,90,11.54034291,E22_1,-0.424474188
17.6,0,301.6,186.2283783,0,11.81965168,-E7_1,-4.489568206
17.6,1,98.4,245.1921407,180,12.72536262,E24_1,-0.334368451
17.6,10,144.8358099,298.4,90,10.61717715,E22_1,2.32127307
17.6,11,104.8,252.8122857,0,11.26595376,-E24_0,1.87178
17.6,12,298.4,53.71575773,180,10.71365321,E8_1,1.712450954
17.6,13,166.7516011,104.8,270,8.15467028,-E14_0,2.587364452
17.6,14,98.4,272.8425269,180,6.580691483,E24_1,2.416943839
17.6,15,120.2868743,295.2,90,3.914623508,E22_0,2.47246588
17.6,16,95.2,82.37347186,180,2.616156735,E10_0,1.986121994
17.6,17,204.8,115.5,0,0,-E4_0,0
17.6,2,95.2,144.8123084,180,13.70232758,E5_0,-0.796843823
17.6,3,95.2,32.57962348,180,14.89156693,E10_0,-0.213030975
17.6,4,1.6,252.6624966,0,14.26415239,E20_1,0.312819183
